MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%,Rk,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru
656412,19874,Alex Faedo,DET,27,2023,262,0.22137405,257,64.2,262,1034,3.946564885496183,673,0.6509999999999999,0.267,0.172,0.288,0.272,0.733,0.0,0.477,0.765,0.664,0.03816793893129771,10,5,0.3320610687022901,87,47,4,13,45,0.22413793103448276,3,5,0,0,0
656638,19883,Alex Lange,DET,25,2021,162,0.24074074,583,35.2,163,641,3.932515337423313,401,0.626,0.2289999999999999,0.249,0.262,0.259,0.7709999999999999,0.0,0.482,0.6759999999999999,0.626,0.06748466257668712,11,5,0.2392638036809816,39,21,1,6,33,0.15384615384615385,8,6,0,0,0
656638,19883,Alex Lange,DET,26,2022,271,0.30258303,533,63.1,272,1046,3.8455882352941178,623,0.596,0.257,0.327,0.17,0.246,0.743,0.0,0.4429999999999999,0.5589999999999999,0.544,0.08088235294117647,22,12,0.2426470588235294,66,32,5,10,72,0.12195121951219512,15,9,0,0,0
656638,19883,Alex Lange,DET,27,2023,288,0.27430556,519,66.0,288,1147,3.982638888888889,664,0.579,0.292,0.2769999999999999,0.193,0.238,0.708,0.0,0.41,0.609,0.535,0.08333333333333333,24,15,0.21180555555555555,61,29,4,13,66,0.16455696202531644,12,8,0,0,0
622072,13781,Alex Wood,SFG,30,2021,585,0.25982906,1134,138.2,585,2195,3.752136752136752,1477,0.6729999999999999,0.294,0.195,0.255,0.256,0.706,0.0,0.475,0.7240000000000001,0.6459999999999999,0.02905982905982906,17,10,0.3401709401709402,199,125,14,33,116,0.2214765100671141,36,6,0,0,0
622072,13781,Alex Wood,SFG,31,2022,555,0.23603604,1055,130.2,555,2239,4.034234234234234,1475,0.659,0.27,0.182,0.289,0.259,0.73,0.0,0.481,0.75,0.634,0.023423423423423424,13,11,0.2864864864864865,159,85,11,45,86,0.3435114503816794,19,1,0,0,0
622072,13781,Alex Wood,SFG,32,2023,429,0.17249417,1047,97.2,429,1710,3.986013986013986,1088,0.636,0.281,0.156,0.282,0.28,0.7190000000000001,0.0,0.457,0.7829999999999999,0.606,0.046620046620046623,20,13,0.2680652680652681,115,81,14,21,53,0.28378378378378377,19,7,0,0,0
622065,18333,Alex Young,- - -,27,2021,246,0.17479675,1150,103.3,494,1824,3.6923076923076925,1158,0.6283333333333333,0.225,0.18666666666666668,0.27133333333333337,0.31666666666666665,0.775,0.0,0.48666666666666664,0.7583333333333333,0.5576666666666666,0.0728744939271255,36,20,0.23076923076923078,114,68,2,10,76,0.11627906976744186,16,8,0,0,0
622065,18333,Alex Young,CIN,29,2023,236,0.21186441,1058,53.2,236,875,3.707627118644068,570,0.652,0.218,0.237,0.256,0.289,0.782,0.0,0.51,0.6970000000000001,0.619,0.038135593220338986,9,6,0.2711864406779661,64,41,6,7,43,0.14,12,3,0,0,0
664747,21132,Alexis Díaz,CIN,25,2022,255,0.3254902,253,63.2,256,1077,4.20703125,681,0.632,0.223,0.283,0.297,0.1969999999999999,0.777,0.0,0.491,0.635,0.602,0.0703125,18,9,0.3359375,86,44,2,10,73,0.12048192771084337,15,6,0,0,0
664747,21132,Alexis Díaz,CIN,26,2023,286,0.3006993,226,67.1,286,1164,4.06993006993007,694,0.597,0.213,0.2739999999999999,0.291,0.222,0.787,0.0,0.469,0.652,0.5489999999999999,0.05244755244755245,15,8,0.2097902097902098,60,36,1,9,76,0.10588235294117647,11,7,0,0,0
642216,21238,Allan Winans,ATL,27,2023,141,0.24113475,1037,32.1,141,534,3.7872340425531914,364,0.682,0.302,0.176,0.255,0.266,0.698,0.0,0.476,0.748,0.645,0.03546099290780142,5,3,0.3262411347517731,46,31,5,6,28,0.17647058823529413,11,1,0,0,0
656578,21298,Andre Jackson,- - -,27,2023,257,0.22178988,434,121.5,516,2002,3.87984496124031,1300,0.6533333333333333,0.24933333333333332,0.18233333333333332,0.2936666666666667,0.27499999999999997,0.7506666666666667,0.0,0.49133333333333334,0.7573333333333333,0.6053333333333333,0.027131782945736434,14,10,0.2596899224806202,134,72,2,16,98,0.14035087719298245,16,4,0,0,0
671096,29911,Andrew Abbott,CIN,24,2023,459,0.26143791,2,109.1,460,1898,4.126086956521739,1191,0.628,0.255,0.191,0.307,0.247,0.745,0.0,0.467,0.7440000000000001,0.596,0.030434782608695653,14,12,0.2565217391304348,118,69,4,29,89,0.2457627118644068,18,2,0,0,0
605177,12988,Andrew Chafin,- - -,31,2021,266,0.2406015,179,136.4,532,1894,3.5601503759398496,1258,0.6653333333333333,0.24633333333333332,0.19433333333333333,0.26899999999999996,0.29033333333333333,0.7536666666666667,0.0,0.5016666666666666,0.7426666666666666,0.622,0.05263157894736842,28,12,0.24812030075187969,132,90,6,24,104,0.1875,30,12,0,0,0
605177,12988,Andrew Chafin,DET,32,2022,243,0.27572016,175,57.1,243,899,3.6995884773662553,568,0.632,0.255,0.236,0.238,0.271,0.745,0.0,0.471,0.6829999999999999,0.634,0.03292181069958848,8,5,0.2757201646090535,67,30,3,13,54,0.19402985074626866,7,3,0,0,0
605177,12988,Andrew Chafin,- - -,33,2023,224,0.28125,149,102.2,452,1842,4.075221238938053,1108,0.5966666666666667,0.289,0.2173333333333333,0.247,0.24633333333333332,0.711,0.0,0.4243333333333334,0.6946666666666667,0.584,0.05752212389380531,26,16,0.23008849557522124,104,58,4,16,110,0.12698412698412698,22,10,0,0,0
